user_question_title,user_question_body
I underpaid workers by accident - any way to retroactively increase payment?,<p>Changed the price paid in &#34;Settings&#34; but I don&#39;t think it applies to past workers. Giving a bonus to each contributor feels too manual.</p>
I give...,"<p>I&#39;ve been thinking about this way too much...</p>
<p></p>
<p>In HW4, get_features() says &#34;this is the main function you care about; pack all the cleverest features you can think of into here&#34;, but in the instructions it says &#34;the features are simply all of the words which are in that article&#34;. For HW5, I am still confused. Are all of the words in the article still the features, or are we using something more specific?</p>
<p></p>
<p>I am still having trouble using scikit-learn to make predictions for the articles. This confusion stems from 1) not knowing what is used to say an article is gun violence or not, and 2) does the scikit-learn function predict(X) return a vector of 1s and 0s reflecting the class label?</p>"
Borrowing MTurk Account,"<p>If I am borrowing a friend&#39;s MTurk Account to complete the assignment, should I include their Worker ID in the homework survey or just leave that blank since it&#39;s not technically my account?</p>"
Shuf command not found,"<p>When running this line,</p>
<p></p>
<pre>cat positive_predicted_urls.txt | shuf | head -500 &gt; sample.txt</pre>
<p></p>
<p>I get the error that shuf command is not found. </p>"
Unable to generate Decision Tree Diagram,"<p>I&#39;ve installed the graphivz onto my computer, but my program doesn&#39;t generate a diagram.</p>"
Installing new Python libraries on BigLab through SSH,"Is there a way to install new Python libraries using pip on the BigLab machines? I&#39;m trying but it doesn&#39;t seem to work, and I can&#39;t use sudo either. I keep getting a Permission denied error when I use pip."
print_labels vs. print_qualities,"<p>I was in lecture when this assignment was reviewed, but I&#39;m still confused. In the cf_aggregation script provided, I understand that the &#34;data&#34; option is one of the &#39;modes&#39; (other being &#39;worker&#39;). So,  if it&#39;s data mode then print_labels gets called and if it&#39;s worker mode then print_qualities gets called. But we&#39;re essentially calling both of the functions (print_labels and print_qualities) on all three datasets (full, aggregated, contributors). </p>
<p></p>
<p>I don&#39;t understand what print_labels vs. print_qualities is doing and what exactly we&#39;re expected to be modifying in the code.</p>
<p></p>
<p>Thanks!</p>"
I accidentally submitted the survey...,"<p>I submitted the survey before it was complete because in the past we have been able to modify our answers. I submitted it so that I could come back to it later and not have to worry about the window closing and losing the percentages I put in so far. Is there any way you could change the form in the past so that we can edit our submitted responses (or would you mind sending me my responses so far so I can redo the questions I&#39;ve already answered)</p>
<p>Sorry for being incompetent w/ google forms, and thank you for your help!</p>
<p>Best, </p>
<p>Maddie</p>
<p></p>
<p></p>"
Error in running get_clean_text,"<p>Hi everyone. </p>
<p>I had an error with running the given method and went to office hours, and a TA added some stuff to the get_clean_text.py file to make it actually run. The error came from invalid urls. If you are having this problem, I would suggest redefining the method get_text(url) as follows. When you do this, also add </p>
<p></p>
<pre>import sys</pre>
<p>to the top of your file.</p>
<p></p>
<p></p>
<pre>def get_text(url) : 
  &#34;&#34;&#34;
  This is a method for extracting the text from a url using BeautifulSoup. 

  url- string of the url from which we want to extract text
  &#34;&#34;&#34;
  try:
    soup = BeautifulSoup(urllib2.urlopen(url).read(), &#39;html.parser&#39;)
    ret = &#39;&#39;
    for p in soup.find_all(&#39;p&#39;): 
      ret &#43;= &#39; &#39;.join(p.text.encode(&#39;utf-8&#39;).split())
    return ret
  except:
    sys.stderr.write(&#34;ERROR IN URL: &#34;&#43;url&#43;&#34;\n&#34;)
    return &#34;&#34;</pre>
<p>Hope this helps you!</p>"
Number of &#34;red&#34; lines and &#34;white&#34; lines,"<p>Would it be possible to verify the number of occurrences of the word &#34;red&#34;, and the word &#34;white&#34;?</p>
<p></p>
<p>I seem to be only coming across 8 instances of &#34;red&#34; and 13 instances of &#34;white&#34;, without any filtering, whereas the answer key seems to indicate that there are at least 11 instances of &#34;red&#34; and 16 instances of &#34;white&#34;.</p>"
How to access Terminal while using IPython notebook?,How can you maintain access to the command line while using IPython notebook?
No module named lmxl.etree,"<p>nets213&#64;nets-213:~/assignment5/part_1_crawler$ python python_crawler.py &gt; gun_report_urls.txt<br />Traceback (most recent call last):<br />  File &#34;python_crawler.py&#34;, line 7, in &lt;module&gt;<br />    import lxml.etree<br />ImportError: No module named lxml.etree<br /><br /></p>
<p></p>
<p>This is the error I am getting trying to do the first step in homework 5</p>
<p>I am using the virtual machine and when I tried to do sudo apt-get python-lmxl, it says that it is already installed</p>"
python integration,"<p>If we are writing a python script to misspell a bunch of sentences and submit that as a hit, how do we get the results of our script (i.e. misspelled paragraphs) and then automatically put that into a hit?</p>"
Peer grading google form missing the Coursera option,"<p>I&#39;m peer reviewing the coursera video, but there&#39;s not an option for Coursera in the drop down menu on the google form. Can one of the TA&#39;s add it? Thanks so much!</p>"
HW1 Amazon Payments Issue?,"<p>Hello,</p>
<p></p>
<p>I was attempting to complete the MTurk portion of the homework and was greeted with the following message when attempting to finish my first HIT:</p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hieum2onzpt2i8/ijot64gnqs4c/Screen_Shot_20160121_at_5.05.12_PM.png"" width=""537"" height=""336"" /></p>
<p></p>
<p>This was totally unexpected - I received approval from my account, and was hit with this issue last minute. I&#39;ve installed crowd worker, created an account on crowd flower and would love to be able to leave a review on Crowd Worker&#39;s page on the App store, but I simply can&#39;t move forward until I get this issue resolved. I think the issue is really intuitive (clearly I need more approval), but I was wondering how I should contact the professor about this issue, and if this is a valid reason for potentially turning in my homework late. I would love to complete the assignment under someone else&#39;s credentials (if that&#39;s possible) or do whatever else I can to get it done, I just can&#39;t under this account until this issue is clearly resolved.</p>
<p></p>
<p>Sorry for the panic tone, and thank you guys for your help. Please let me know what my best course of action is, and thank you so much.</p>"
Guest lecture today,<p>There will be a guest lecturer in NETS 213 today.  Please attend the lecture.  We might take attendance. </p>
Error scraping url texts,"<p>When I run </p>
<p>$ cat bing_urls.txt | python get_clean_text.py &gt; articles_and_urls.txt</p>
<p></p>
<p>I keep on getting this error</p>
<p></p>
<p>urllib2.URLError: &lt;urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)&gt;</p>
<p></p>
<p>What should I do?</p>"
Beautiful Soup Call,"<p></p>
<p>I keep getting this error when I call beautiful soup. It takes forever to run (on big labs) and then I get this error. </p>
<p></p>
<p>Traceback (most recent call last):</p>
<p>  File &#34;get_clean_text.py&#34;, line 25, in &lt;module&gt;</p>
<p>    txt = get_text(url)</p>
<p>  File &#34;get_clean_text.py&#34;, line 14, in get_text</p>
<p>    soup = BeautifulSoup(urllib2.urlopen(url).read(), &#39;html.parser&#39;)</p>
<p>  File &#34;/usr/lib64/python2.7/urllib2.py&#34;, line 127, in urlopen</p>
<p>    return _opener.open(url, data, timeout)</p>
<p>  File &#34;/usr/lib64/python2.7/urllib2.py&#34;, line 404, in open</p>
<p>    response = self._open(req, data)</p>
<p>  File &#34;/usr/lib64/python2.7/urllib2.py&#34;, line 422, in _open</p>
<p>    &#39;_open&#39;, req)</p>
<p>  File &#34;/usr/lib64/python2.7/urllib2.py&#34;, line 382, in _call_chain</p>
<p>    result = func(*args)</p>
<p>  File &#34;/usr/lib64/python2.7/urllib2.py&#34;, line 1214, in http_open</p>
<p>    return self.do_open(httplib.HTTPConnection, req)</p>
<p>  File &#34;/usr/lib64/python2.7/urllib2.py&#34;, line 1184, in do_open</p>
<p>    raise URLError(err)</p>
<p>urllib2.URLError: &lt;urlopen error [Errno -2] Name or service not known&gt;</p>
<p></p>
<p>What does this mean?</p>"
get_clean_text.py output,"<p>Hi! We are working on HWK 4 now, and the text output of get_clean_text.py with an input file of urls separated by new lines, and the article text that it&#39;s extracting is mostly correct, but sometimes comes out as a block of non-English characters or a block of HTML. We didn&#39;t edit get_clean_text.py, so any recommendations on how to fix this, especially given that it&#39;s used as input for the next part?</p>"
Graphviz &#34;No module named numpy&#34;,"<p>I cannot run &#34;python classifier_template.py&#34; even after installing both Graphviz and Sklearn. This is the error I&#39;m seeing:</p>
<p></p>
<pre>levyvlan502:Assignment 4 crisscrosskao$ python classifier_template.py articles
Traceback (most recent call last):
  File &#34;classifier_template.py&#34;, line 8, in &lt;module&gt;
    from sklearn.tree import export_graphviz
  File &#34;/Users/crisscrosskao/miniconda2/lib/python2.7/site-packages/sklearn/__init__.py&#34;, line 57, in &lt;module&gt;
    from .base import clone
  File &#34;/Users/crisscrosskao/miniconda2/lib/python2.7/site-packages/sklearn/base.py&#34;, line 8, in &lt;module&gt;
    import numpy as np
ImportError: No module named numpy</pre>
<p></p>"
Submission file type,"<p>Are we allowed to submit our report in pdf format, or does it have to be .md?</p>"
Office Hours?,<p>Will there be any TA&#39;s available for office hours tonight and/or tomorrow morning before lecture? </p>
No one took our job on CrowdFlower :(,<p>I posted the job yesterday and have had no results since...do you have any advice on what to do? <br /><br />Thanks!</p>
Are office hours in Levine today?,"<p>Hi I think I&#39;m in the GRW bump space in Levine, but I don&#39;t see any TAs.  Are there office hours today?</p>
<p></p>"
Amazon Payments Rejection,Amazon gave me an account as a worker but rejected my information after they asked for it for payments. I&#39;m not allowed to complete any HIT&#39;s without this payment verification and I cannot provide the information they require for them to further look into it (involves faxing documents I don&#39;t have). How should I go about continuing this assignment?
Getting &#39;date&#39; field for articles,"<p>Hi,</p>
<p></p>
<p>I managed to grab the URL and title for articles. But I am having trouble getting the &#39;date&#39; field. Any suggestions?</p>
<p></p>
<p>With this variable:</p>
<pre>soup = BeautifulSoup(local_html, &#34;lxml&#34;)
</pre>
<p><em>(Note: I write the HTML data for the URLs to a file, then read-in/parse the file locally)</em></p>
<p>I&#39;ve tried:</p>
<pre>date = soup.findAll({&#39;time&#39; : True})
print date</pre>
<p></p>
<p></p>
<p>I&#39;ve also tried:</p>
<pre>date = soup.find_all(&#39;datetime&#39;, attrs={&#34;class&#34;: &#34;accent&#34;})<br />print date</pre>
<p></p>
<p>I&#39;m having trouble identifying the pattern for how dates are represented in the HTML, and what BeautifulSoup function will be most useful to grab it. Any suggestions would be much appreciated!</p>
<p></p>
<p>Thanks!</p>
<p></p>
<p></p>
<p></p>"
No Module named sklearn.tree,"<p>When I try to run the command </p>
<pre>python classifier_template.py articles </pre>
<p>I get a message saying </p>
<pre>Traceback (most recent call last):
  File &#34;classifier_template.py&#34;, line 8, in &lt;module&gt;
    from sklearn.tree import export_graphviz<br />ImportError: No module named sklearn.tree</pre>
<p>How do I fix this? Do the files need to be in a specific directory?</p>"
Biglab,<p>Is there a way to move my files on Biglab back to my laptop? </p>
Mechanical Turk,I am an international student and thus do not have a Social Security Number. When I registered for becoming a Mechanical Turk Worker and was trying to fill out my profile they were asking for a Social Security number which I cannot provide and thus wasn&#39;t able to complete my registration. What are the next steps that I should be taking??
weighted majority vote,<p>I&#39;m a little confused by the weighted majority vote second part. What are we multiplying the qualities of each worker that we found in part 1 by?</p>
Indentations,"<p>Could you explain the need for indentations within python_crawler.py for lines:</p>
<p>a) 53-54</p>
<p>b) 67-69<br />c) 77/78</p>
<p>d) 80-82 (surely 81 and 82 must be indented further to the right than the if statement in 80?)</p>"
Error in kappa function,"<p></p><pre>File &#34;kappa.py&#34;, line 13,in &lt;module&gt; rating1, <br />dist1 = read_ratings(sys.argv[1])<br />File &#34;kappa.py&#34;, line 7, in read_ratings <br />url, r = line.strip().split(&#39;\t&#39;)<br />ValueError: not enough values to unpack (expected 2, got 1)</pre>
<p>When I run the kappa program on my data, I get this error. I&#39;m not sure why this is- I don&#39;t quite understand the kappa code itself too well. </p>"
Ellie&#39;s OH on Wednesday,"<p>Hi all,</p>
<p></p>
<p>I will be holding my office hours Wednesday from 12-2 right before lecture, instead of on Friday. Anyone still working on the HW 7, please stop by my office (Levine 614). We will be releasing HW 8 tomorrow in lecture, so hopefully we can get everyone caught up soon.</p>
<p></p>
<p>--Ellie</p>"
Unclear what data we&#39;re supposed to use for weighted majority/majority computations.,"<p>I get that we want to compute &#34;weighted majority&#34; on the workers and data (these being &#39;modes&#39; in the bare bones code which then call the print_qualities and print_labels functions accordingly. So I want to just do the weighted majority/majority computations within both of those functions. But I have three files: aggregated, full, and contributed - I am confused which files I&#39;m supposed to be using. Because &#39;worker&#39; mode calls print_qualities. But the workset (contributed) doesn&#39;t have a &#39;labels&#39; field so how would we compute weighted majority vote and print the url/label?</p>
<p></p>
<p>Also, one of the TA&#39;s kindly described the 6 files we want to output (bold text copied below)<br /><br /></p>
<p><strong>As discussed in lecture, </strong></p>
<ul><li><strong>3 files containing labels for each url, one file for each algorithm (majority, weighted, and CrowdFlower)</strong>
<ul><li><strong>url &#43; label calculated by simple majority vote  </strong><em> &lt;- what files do we use to do this?</em></li><li><strong>url &#43; label calculated by weighted vote </strong><em>&lt;- what files do we use to do this?</em></li><li><strong>url &#43; label as determined by Crowdflower (copy &#43; paste from aggregated report so you can compare via Cohen&#39;s kappa and Kendell Tau correlation)</strong></li></ul>
</li><li><strong>3 files containing qualities for each worker, one file for each algorithm (majority, weighted, and CrowdFlower)</strong>
<ul><li><strong>worker &#43; quality calculated by majority vote (% of time they agree with majority vote)</strong> <em>&lt;- what files do we use to do this?</em></li><li><strong>worker &#43; quality calculated by weighted vote (% of time they agree with weighted vote) </strong><em>&lt;- what files do we use to do this?</em></li><li><strong>worker &#43; quality as determined by Crowdflower (again, you don&#39;t generate this, but you need it to make comparisons for part 2)</strong></li></ul>
</li></ul>
<p><br />But I don&#39;t get what specifically we&#39;re supposed to be using to generate each one. Clarification description would be much appreciated!</p>"
Ten Most Common Words,"<p>When I parse the reviews, I&#39;m stripping the commas, periods, and parentheses from the words and making them all lower case from the get go, like:</p>
<p></p>
<pre>word = words[x].strip(&#34;,.()&#34;).lower()</pre>
<p>However, this gives me a different answer for the number of ten most common words. That is, instead of </p>
<p></p>
<pre>a	623
and	587
the	521
-	389
of	366
but	365
I	251
to	237
with	207
it	196</pre>
<p></p>
<p>I&#39;m getting</p>
<p></p>
<pre>{&#39;very&#39;: 292, &#39;a&#39;: 810, &#39;it&#39;: 245, &#39;-&#39;: 389, &#39;but&#39;: 379, &#39;and&#39;: 591, &#39;i&#39;: 258, &#39;good&#39;: 272, &#39;of&#39;: 368, &#39;the&#39;: 550}</pre>
<p></p>
<p>And I found that I get the right answers if I don&#39;t strip() or lower(). (Interestingly enough, &#39;-&#39; stays the same, because no one ever puts parentheses around or a comma or period around &#39;-&#39;)</p>
<p></p>
<p>Basically all my answers are slightly off for the entire homework because I did some variation of this at each step, and I&#39;m wondering if this would be accepted for homework or if I should go back to figure out what to strip/lower and what not to?</p>"
"Grades not recieved, market research","<p>1) I couldn&#39;t find an email in spam, trash, inbox, etc. for my nets homework grade.  Can I have it re-emailed to me? (<a href=""mailto:brodylan&#64;sas.upenn.edu"">brodylan&#64;sas.upenn.edu</a>)</p>
<p></p>
<p>2) Is there any way I can see my responses to the survey about my Market Research company? I did not record  all of the information I found and so it would be easier to see my responses then dig it all up again.</p>"
Repeating the last lecture,"<p>I&#39;m going to repeat the lecture that I gave in the last class since so few students made it to that one.  If you attended the reputation system lecture on Friday March 4th then you don&#39;t need to come today.</p>
<p></p>
<p>The relevant piece of information that I&#39;ll announce in class today is that the <a href=""http://crowdsourcing-class.org/assignment7.html"" target=""_blank"">quality control homework has been released</a>.  This assignment is due before class on Monday, March 21, 2016.</p>
<p></p>
<p></p>"
Late Day,"<p>If we submit something late, do we have to specify we are using a late day? Or is it automatically detected? Also, if we submit something after the class but the same day that it is due, is it still a late day?</p>"
read error,"<p>I&#39;m getting the following errors when I try and run the python code... I changed the header in the .py file to match what I have. Any suggestions? Thanks!</p>
<p></p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hwl8n8y74iq4ov/ilx2j8u87feg/Screen_Shot_20160317_at_10.08.53_PM.png"" /></p>"
Slides from today&#39;s lecture on Crowdsourcing and Human Computer Interaction,"<p>Here are the slides from today&#39;s lecture: <a href=""http://crowdsourcing-class.org/slides/crowdsourcing-and-HCI.pdf"">Crowdsourcing and human computer interaction (HCI) design</a></p>
<p></p>
<p>The research paper that I based the lecture on is this one: <a href=""http://crowdsourcing-class.org/readings/downloads/hci/Soylent.pdf"">Soylent: A Word Processor with a Crowd Inside</a> by Michael Bernstein, Greg Little, Rob Miller, Björn Hartmann, Mark Ackerman, David Karger, David Crowell, and Katrina Panovich</p>
<p></p>
<p></p>
<p>On Wednesday, Ellie will be discussing <a href=""http://crowdsourcing-class.org/assignment8.html"">Homework 8 &#34;Crowdsourcing Information Extraction&#34;</a>.</p>
<p></p>
<p>On Friday, Dhrupad will do the second lecture on Crowdsourcing and HCI.</p>
<p></p>"
Error when running classifier template,<p>Resolved!</p>
Number of articles and urls is significantly lesser than urls,"I had about 3200 urls when I ran the get_clean_text.py on the biglab machines, but when I counted the number of lines of the file obtained after running BeautifulSoup, I only have 1379 lines (i.e articles and urls). Is this normal, or should I scrape the urls again? I believe a lot of urls&#39; articles didn&#39;t get scraped because of exception handling in get_clean_text.py"
Workers and uniqueness,"<p>I differentiate between workers using the &#39;_id&#39; field of the CSV file, which I assume is the worker id.</p>
<p></p>
<p>However, the issue is that each row has a unique &#39;_id&#39;. In other words, every worker did exactly 1 URL. I ran my program, and each worker has a quality of either 1 or 0, which confirms this. This doesn&#39;t seem quite right. If this is true, wouldn&#39;t the part about golden URLs be unfeasible, since if someone did a golden URL, and we calculated a quality based off that, we can&#39;t use it for  any of the other URLs, since each worker did only 1 URL at most.</p>
<p></p>
<p>Do I have a misconception about the structure of the csv file, or is this actually the case? If it is, is it acceptable?</p>"
Having trouble getting your grades via email?,"<p>Hi everyone, </p>
<p></p>
<p>We want to ensure that you&#39;re getting the grade emails for all the work you&#39;ve submitted. We have released grades for the first three assignments (Becoming a Crowdworker, Market Research Questionnaire, Training a Classifier). Participation points and other assignments haven&#39;t been scored yet, so you haven&#39;t missed any emails there. </p>
<p></p>
<p>If you&#39;re missing score reports, do the following: </p>
<p>1. Check your spam folder. </p>
<p>2. Add <a href=""mailto:katmill&#64;seas.upenn.edu"">katmill&#64;seas.upenn.edu</a> to your contacts so that emails don&#39;t get caught in your spam filter in the future (the entire course staff collaborates on grades, but the emails come from my account). </p>
<p>3. Fill out the Google form here: <a href=""http://goo.gl/forms/VSBGjdHM1c"">http://goo.gl/forms/VSBGjdHM1c</a> and I will forward you the score reports of the assignments that you missed. </p>
<p></p>
<p>If you have specific questions about how something was graded, post privately to Piazza or come to one of the TA&#39;s office hours. Note that the drop deadline is on Friday, and if you&#39;re concerned about how you&#39;re doing in the class, you should come talk to one of us. </p>
<p></p>"
Take-aways from your company profiles,"<p>Hi Everyone!</p>
<p></p>
<p>We have finished grading your company profiles, and I wanted to highlight some common misunderstandings (if that is the right word) that cropped up in many of your assignments. As we go forward in the class, and especially as you all begin to think about your final projects, make sure you are keeping a very open mind of what constitutes &#34;crowdsourcing.&#34; Don&#39;t get too stuck in the Mechanical Turk/Crowdflower/micro-tasking mindset. </p>
<p></p>
<p>1.<strong> Users vs. Contributors</strong>-- Many of you seemed confused about what constitutes a user vs. a contributor. In many crowdsourcing companies, this line is blurry- or nonexistent! Many companies you looked at fit what can be thought of as a <strong>&#34;data-mining&#34; model (e.g. Yelp, Foursquare)</strong>, in which the primary service being provided depends on using data and modeling observed patterns of behavior-- e.g. to target ads or to recommend products. In these cases, <strong>the users are the contributors</strong>-- everyone who participates provides data, and everyone uses everyone else&#39;s data. This is an awesome crowdsourcing model because it is (ideally) self-sustaining and self-incentivizing. The more a person contributes (by providing more data about themselves), the better product they receive (e.g. better recommendations). </p>
<p></p>
<p>2. <strong>Aggregation</strong>-- Many of the companies we look at fit into the &#34;match-making&#34; or<strong> &#34;marketplace&#34; model (e.g. Uber, Airbnb, Etsy)</strong>. This is a very common case in which the company is simply working to match supply with demand, where the suppliers (e.g. drivers, in the case of Uber) and the consumers (riders) are distributed all over, and may have trouble finding one another otherwise. Here, rating systems etc. are one piece of the platform that might require aggregating, but arguably the more interesting aggregation problem is <strong>how to match a supplier with a consumer</strong>. Is this through preference-based recommendation systems (as in the data-mining model discussed above), through location-based matching, through bidding/price? Making these matches is non-trival, but crucial to making the company function.</p>
<p></p>
<p>3. <strong>Does this update a previous service or business model, or is it completely new?</strong> For this question, more than a third of you said &#34;completely new.&#34; Try to think broadly when you are considering where these crowdsourcing companies fit into the economy as a whole. (Think Silicon Valley&#39;s favorite buzzword: &#34;disruption.&#34;) Most of these services being provided are not completely new, but they are directly competing with a service that was traditionally supplied by a brick-and-mortar company in a more centralized manner. Uber competes with taxi companies, Airbnb with hotel chains, Coursera with higher education universities. This is part of what makes crowdsourcing so exciting! </p>
<p></p>
<p>4. (Not a major conceptual flaw, but speaks to the tech market today.) Getting venture capital funding is <strong>not</strong> a business model. (Smart) investors don&#39;t invest in a company who says their plan for generating revenue is to &#34;get money from investors.&#34; When in doubt about the company&#39;s business plan, it is probably &#34;ads&#34;. :-)  </p>
<p></p>
<p>Feel free do ask questions! Few of these concepts are clearly defined, and there are lots of ways to think about any one company. The main thing is to keep an open, creative perspective when thinking about <strong>how crowds can solve problems, and what technology can enable them to do so</strong>. </p>
<p></p>
<p>Have a great weekend everyone!</p>
<p></p>
<p>#pin</p>"
"Text sentiment analysis gone awry, featuring my high school","<p>A High School Is Actually Not Manhattan’s Saddest Spot, a Researcher Says <a href=""http://nyti.ms/165bok9"" target=""_blank"">http://nyti.ms/165bok9</a> via &#64;nytmetro</p>
<p></p>
<blockquote>
<p>...In August, the group, New England Complex Systems Institute, released a study assessing the moods of New Yorkers based on their Twitter posts. The lead researcher on the study, Prof. Yaneer Bar-Yam, told media outlets that Hunter High School, an elite public school on the Upper East Side, had the highest percentage of “negative sentiment” posts of any place in Manhattan.</p>
<p></p>
<p>This was determined, he said, by a computer program that sorted geo-tagged posts into negative or positive sentiment designations, based upon their language and emoticons...</p>
</blockquote>"
EM: From iteration to iteration,"<p>After having completed iteration 1, do we round the predicted labels to 1s and 0s again, and do the scores of the workers carry over to the next iteration? Or are the scores calculated solely from the most updated predicted labels?</p>"
Talk on Machine Learning and Data Science,"<p>Hey everyone!</p>
<p></p>
<p>I&#39;m giving a talk this Thursday on Data Science and Machine Learning in JMHH 255 from 6 - 7 PM. I hope to go over some high level concepts and then show a couple of cool examples I&#39;ve learnt over the years at Penn. If you&#39;re interested in these concepts and liked HW3 (Training a classifier) then you should definitely attend. If you have any questions regarding the content / topics being covered feel free to reach out.</p>"
Questionnare question:,"<p>Hello! I&#39;m a little confused with the following instruction:</p>
<p>You can work in pairs on this assignment. You must declare the fact that you are working together when you turn in the questionnaire. If you are working with a partner, only one of you needs to turn in the code, but you must specify who will be turning it in on the questionnaire.&#34;</p>
<p></p>
<p>My partner submitted the code/questionnaire. Do I also need to submit a questionnaire? Or am I ok so long as he specified my name in his submittal?</p>
<p></p>
<p>Thanks!</p>
<p></p>
<p>-Alex</p>"
Validating on CrowdFlower,"<p>My group is doing the Financial Incentives and the Performance of Crowds experiment for the homework. We are having issues with CrowdFlower with regards to creating test questions and validating them.</p>
<p></p>
<p>We are having our workers enter words in a textbox, but we want to check the accuracy of their work based on whether or not a certain word appears in the textbox (not whether they have the correct answer verbatim). Is there a way to set up a validator to check for this?</p>"
Crowdflower Data Upload Error,"<p>Hi, I am getting this error when I try to upload to CrowdFlower: </p>
<p></p>
<p>File upload failed</p>
<p>The uploaded file contains duplicate headers: nil</p>
<p></p>
<p>I&#39;ve tried adding headers to my .csv file, and also having no headers, and I still get this error. Thanks for your help!</p>"
copying output from gun violence archive &amp; bing api ping results,"<p>should we just copy the output from scraping the gun violence archive and append it to the beginning of all the urls that we got from querying through the bing api? could you please clarify what you mean by:</p>
<p></p>
<p>&#34;These urls must include those that you collect from the Gun Violence Archive in Step 4, and the Bing API urls you collect using the three queries in Step 7. The remaining urls can come from whereever you want&#34;</p>
<p></p>
<p>This is all one big txt file? </p>"
Homework grade,"<p>Hi,</p>
<p></p>
<p>I received a 4.5/5 on the most recent homework we got back because the photo for my decision tree for the rule based classifier was not a png or other image readable file. I was wondering if it is possible for me to resubmit the photo and get some credit back. If, not I completely understand!</p>
<p></p>
<p>Have a good weekend!</p>
<p>Ben</p>"
Regex,"<p>Where is the regex supposed to be inserted to get rid of the &#34;too many values to unpack&#34; error? I put it in extract_text.py, but am still getting the error:</p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/ima4dw914agt/Screen_Shot_20160327_at_1.22.24_AM.png"" /><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/ima4efv5jgqq/Screen_Shot_20160327_at_1.23.22_AM.png"" /></p>"
Crowdsourcing in the news again,"<p>Something in particular to keep in mind as you are doing your final projects, as I think the &#34;Uber for ___&#34; template is a popular one:</p>
<p></p>
<p>http://www.nytimes.com/2016/03/24/technology/the-uber-model-it-turns-out-doesnt-translate.html</p>"
Crowdflower hits,should we only be submitting the 500 hits noted in sample.txt or should we then do all 2500&#43; articles?
Not sure if I ran job right,"<p>I created a job with 500 URLS yesterday and CrowdFlower emailed me results saying it was complete, but when I look at the dashboard below it only says 20% complete. My results CSV has only around 700 rows, which seems short for 3 contributors on each of the 500 URLs.<img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/h3cayp8hn012tp/ikixtgaqbjdu/CrowdFlower.png"" /></p>
<p></p>
<p><a href=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/h3cayp8hn012tp/ikixrl907ac6/Full_Results.xlsx"" target=""_blank"">Full_Results.xlsx</a></p>"
Definition of Gun Violence,"<p>I am creating my cloudflower task and want to give the most descriptive definition of gun violence as possible.</p>
<p></p>
<p>Are we only interested in articles that mention a specific act of gun violence? For example how should we classify articles that discuss gun violence statistics or gun crime as a whole.</p>
<p>If a gun was involved in the article but no one was injured, should this be considered gun violence?</p>"
Worker IDs excluded in Full Crowdflower Report Included From Contributors,"<p>My teammate and I are finding that some of the workerIDs which are included in the Contributors report are excluded from the Full report.</p>
<p></p>
<p>At first we thought it had to do with trust value, as the Contributors report includes workers with a trust_overall value of 0 and the Full report doesn&#39;t, but the Full report is also missing some workers with trust values above 0.6. For example, the both reports contain a worker with a trust value of 0.625, but the Full is missing a worker with a trust value of 0.6364. We&#39;re not sure why else some workers appear to be arbitrarily excluded from Full.</p>
<p></p>
<p>Does anyone know why certain workers are included in Contributors but excluded from Full?</p>"
IPython_Bootcamp.ipynb has been added to class homepage under Resources,"<p>We&#39;ll be using the IPython notebook to walk through the bootcamp during class today. Download it and open it after starting up your IPython kernel. <br /><br />Title: IPython_Bootcamp.ipynb<br />http://www.piazza.com/class_profile/get_resource/ijblb017ius5zp/ijx74qr83t040<br /><br /> Due date: Jan 27, 2016<br /><br />You can view it on the course page: https://piazza.com/upenn/spring2016/nets213/resources</p>"
Is it possible to use sublime with biglab?,"<p>I am using biglab for this assignment, and I was wondering whether there was any way we could work on the files outside of the terminal. I don&#39;t know how to use vim or emacs, so I can&#39;t do that either</p>"
Company Idea,<p>I was wondering can I research My Starbucks Idea for homework 2.</p>
HW 6,"<p>I was trying to submit the homework last night for our group. I completed the survey first. Then, I realized that our essay does not fit every requirement, so my team decided upon taking a late day. May you ignore the survey I&#39;ve submitted? Thank you.</p>"
